timestamp,zone_id,latitude,longitude,wind_speed_ms,wind_direction_deg,temperature_c,humidity_pct,traffic_emission_rate_kg_h,industrial_emission_rate_kg_h,rl_traffic_signal_offset_s,rl_green_corridor_active,rl_ventilation_control_mw,co2_concentration_ppm,pm25_ug_m3,reward_value
02-01-2026 23:00,Zone_004,37.73449319,-122.4289285,6.9,127.5,21.1,78.3,198.77,329.72,-17,0,3.45,620.32,56.9,69.1
03-01-2026 00:00,Zone_007,37.73196571,-122.4913233,4.62,236.1,11.2,46.4,437.23,437.45,-18,0,2.64,634.78,119.93,84.39
03-01-2026 01:00,Zone_008,37.70467011,-122.3563315,10.98,193.4,23.6,59.5,263.19,622.75,-11,0,1.44,526.84,57.94,-7.58
03-01-2026 02:00,Zone_003,37.79775002,-122.3585914,0.74,243.8,18.5,55.1,409.81,594.29,-5,1,4.07,661.63,26.43,-21.45
03-01-2026 03:00,Zone_001,37.75527895,-122.3822216,4.13,245.8,21.8,93.8,311.28,879.44,-4,0,1.45,704.59,54.21,-45.99
03-01-2026 04:00,Zone_004,37.82965374,-122.3513008,1.15,226.3,25.3,55.4,397.89,785.77,-6,1,4.96,535.52,91.69,92.15
03-01-2026 05:00,Zone_002,37.77098149,-122.4183277,9.32,95.8,31.7,35.2,199.7,808.84,-22,0,4.08,629.95,103.27,52.58
03-01-2026 06:00,Zone_008,37.84522901,-122.3555847,8.57,14,26.5,35.8,424.14,885.46,10,0,3.54,664.99,60.61,93.55
03-01-2026 07:00,Zone_004,37.72782883,-122.4886592,4.31,164,20.9,68.4,173.56,421.87,17,0,0.31,466.54,75.39,79.58
03-01-2026 08:00,Zone_002,37.83029348,-122.4451479,8.27,320.8,30.5,69,295.74,454.57,-19,0,4.52,516.41,102.94,1.07
03-01-2026 09:00,Zone_006,37.81648953,-122.4661928,5.05,205,32.6,57.2,146.3,581.8,-21,0,3.95,438.08,99.49,-33.1
03-01-2026 10:00,Zone_006,37.81563828,-122.470625,9.2,299.7,13,58.1,263.99,438.21,-25,0,1.15,610.77,82.35,24.86
03-01-2026 11:00,Zone_010,37.82671748,-122.4788796,5.72,357,23.3,33.5,193.18,1183.43,19,0,1.96,680.33,99.65,-45.98
03-01-2026 12:00,Zone_004,37.8141536,-122.406638,5.24,58.9,17.1,63.6,170.02,995.46,3,0,1.34,613.79,73.35,-27.51
03-01-2026 13:00,Zone_006,37.79393305,-122.3828017,11.25,249,11.2,62.8,485.14,281.12,28,1,4.92,462.92,10.51,-14.99
03-01-2026 14:00,Zone_002,37.71968673,-122.4132552,3.39,242.7,26.7,39.7,122.03,106.15,21,0,4.27,591.23,14.54,49.85
03-01-2026 15:00,Zone_010,37.70487893,-122.4779556,1.89,352.8,31.6,36.7,404.3,147.06,10,0,4.65,692.23,117.78,26.48
03-01-2026 16:00,Zone_002,37.83812718,-122.3783314,7.22,354.8,14.1,38,492.87,368.47,-12,0,3.94,505.95,25.95,-4.64
03-01-2026 17:00,Zone_010,37.79249755,-122.4046068,11.65,247.2,30.3,36.6,58.96,225.72,-25,0,2.28,691.43,54.5,34.72
03-01-2026 18:00,Zone_004,37.81948059,-122.4417751,4.85,87.7,31.3,69.6,364.56,686.67,-29,0,1.03,674.62,112.72,-31.22
03-01-2026 19:00,Zone_008,37.77222835,-122.3988805,1.21,287.5,32.9,42.8,163.81,1043.79,-16,0,1.04,407.61,31.45,63.36
03-01-2026 20:00,Zone_007,37.71759623,-122.4610143,4.4,38.5,16.6,46.3,68.22,910.43,-14,0,0.76,483.81,102.82,56.81
03-01-2026 21:00,Zone_009,37.71877787,-122.4482212,6.32,281.1,32.6,41.3,231.3,337.17,-15,1,2.73,590.03,100.01,-17.52
03-01-2026 22:00,Zone_008,37.80283479,-122.3623771,2.36,327.7,18,92.3,470.85,539.23,-3,0,4.6,651.17,118.5,40.96
03-01-2026 23:00,Zone_005,37.76454588,-122.4564243,8.07,137.8,23.8,85.6,55.29,658.68,-10,0,4.96,708.19,40.99,25.5
04-01-2026 00:00,Zone_002,37.73007871,-122.4295018,11.97,227,11.3,45,314.55,991.23,-23,0,1.44,624.36,44.69,-40.88
04-01-2026 01:00,Zone_005,37.77373918,-122.3664788,5.7,154.9,11.1,51.3,275.63,1023.03,-21,0,3.49,533.12,109.32,-8.28
04-01-2026 02:00,Zone_008,37.70963134,-122.3938418,4.58,157.6,28,43.6,443.02,1100.69,-21,0,2.99,464.62,35.75,99.92
04-01-2026 03:00,Zone_010,37.78729571,-122.4906695,5.11,111.7,21.1,62,87.8,660.17,19,1,2.44,666.01,70.27,-35.07
04-01-2026 04:00,Zone_009,37.74034901,-122.4779045,1.82,274.4,16.4,31.3,356.69,863.7,-21,1,3.33,472.37,87.81,25.96
04-01-2026 05:00,Zone_009,37.81963387,-122.4988238,10.66,337,14.8,73.6,356.05,222.98,-22,0,1.86,643.4,39.91,77.4
04-01-2026 06:00,Zone_001,37.74655429,-122.4053617,5.27,338.7,26.7,64,351.09,721.82,-3,1,4.72,463.42,113.23,-4.9
04-01-2026 07:00,Zone_009,37.76828302,-122.432849,4.95,62.9,10,88.4,474.05,373.56,-7,0,3.53,431.87,83.23,-10.89
04-01-2026 08:00,Zone_007,37.70174308,-122.4798588,8.09,314.9,30.1,40.7,420.39,574.89,-12,1,3.77,487.89,15.19,83.62
04-01-2026 09:00,Zone_009,37.71086703,-122.3563099,5.58,265.5,12,82.3,68.89,797.46,2,1,1.21,499.73,24.93,-4.28
04-01-2026 10:00,Zone_008,37.75887403,-122.420551,7.95,91,14.8,81.5,261.99,382.68,-27,1,0.84,626.52,30.99,47.72
04-01-2026 11:00,Zone_001,37.77199083,-122.463716,1.21,24.2,19.7,38.3,229.08,157.4,25,0,1.97,456.31,36.95,61.05
04-01-2026 12:00,Zone_008,37.79000308,-122.4249095,9.86,96.5,22.1,55.9,189.57,111.26,-28,0,3.83,725.61,90.37,68.29
04-01-2026 13:00,Zone_008,37.74374939,-122.398057,11.32,328.4,18.9,41.1,253.1,124.38,11,0,4.69,594.03,19.78,99.21
04-01-2026 14:00,Zone_003,37.80424728,-122.4885641,7.96,227.9,18,46.6,222.89,109.18,-19,0,2.14,571.83,48.57,70.48
04-01-2026 15:00,Zone_001,37.82901836,-122.4587944,11.48,259.6,34.1,47.1,244.55,221.39,-13,0,3.87,552.14,110.25,48.55
04-01-2026 16:00,Zone_008,37.81697765,-122.3789552,2.24,92.6,26,66.2,490.67,363.44,-8,0,2.35,598.31,71.23,84.32
04-01-2026 17:00,Zone_003,37.70594282,-122.4310503,5.99,259,10.6,56.7,89.88,343.34,-11,0,1.48,407.86,39.2,85.86
04-01-2026 18:00,Zone_003,37.77207604,-122.4180134,7.42,10.1,20.8,91.6,465,1185.48,-25,1,3.7,746.53,115.28,95.97
04-01-2026 19:00,Zone_001,37.71573953,-122.4350776,7.19,135.1,31.9,38.2,266.11,436.61,22,0,3.99,595.13,36.87,66.47
04-01-2026 20:00,Zone_005,37.73630675,-122.493415,5.12,225.6,17.5,93.3,330.68,240.16,3,1,1.01,412.32,109.56,-20.76
04-01-2026 21:00,Zone_010,37.84799939,-122.4751375,4.39,52.6,12.4,45,423.58,700.12,11,0,1.53,606.49,89.83,56.47
04-01-2026 22:00,Zone_007,37.72137433,-122.4331688,1.96,296.3,29,80.2,212.21,1043.75,-29,1,2.47,552.98,91.46,-38.73
04-01-2026 23:00,Zone_010,37.77483322,-122.4686222,5.01,84.6,25.2,52,243.69,845.87,-1,0,0.93,408.41,94.14,-2.31
05-01-2026 00:00,Zone_009,37.79272336,-122.4925031,2.37,234.8,24.3,39.3,234.28,425.69,-22,0,4.64,723.55,65.72,-32.63
05-01-2026 01:00,Zone_007,37.80536975,-122.3734526,8.95,145.9,11.3,85.8,218.63,717.78,-4,1,2.96,403.7,99.6,92.49
05-01-2026 02:00,Zone_009,37.7839473,-122.3528211,2.9,214.6,13.5,50.1,466.49,886.34,11,0,0.61,602.26,101.98,0.81
05-01-2026 03:00,Zone_008,37.70146563,-122.3810286,1.17,38.7,25.6,72.8,423.02,900.91,3,0,0.92,736.63,49.65,56.98
05-01-2026 04:00,Zone_002,37.7489692,-122.3719323,6.85,6.1,15.2,66.8,99.05,833.19,9,0,4.77,483.16,54.04,35.7
05-01-2026 05:00,Zone_001,37.77765675,-122.4637034,7.35,327.4,22.6,60.7,98.66,1057.89,-7,0,3.69,488.96,107.76,-33.87
05-01-2026 06:00,Zone_007,37.71317997,-122.355906,10.53,97.1,23.6,62.2,242.54,1057.12,18,0,3.67,400.15,67.72,34.2
05-01-2026 07:00,Zone_007,37.75259404,-122.4704611,7.14,295.1,17.1,77.6,94.4,736.83,-14,0,0.36,423.22,105.36,49.15
05-01-2026 08:00,Zone_008,37.70498047,-122.3572855,4.47,359.8,33.7,35.7,328.59,572.84,-2,1,4.48,415.71,78.94,82.23
05-01-2026 09:00,Zone_005,37.71178677,-122.3507771,9.73,76.1,31.1,73.4,114.66,805.73,5,1,2.22,687.93,75.29,-39.49
05-01-2026 10:00,Zone_003,37.75953849,-122.3932416,6.71,95.5,28.1,88.2,285.07,1000.03,19,0,3.3,692.86,13.41,-5.65
05-01-2026 11:00,Zone_008,37.71990736,-122.3528284,1.41,238.6,11.9,33.8,53.25,106.22,-19,1,4.8,654.35,40.57,53.85
05-01-2026 12:00,Zone_006,37.78513113,-122.414569,7.01,347.6,12.7,39.1,192.47,1191.2,0,0,0.5,523.46,65.23,-44.85
05-01-2026 13:00,Zone_003,37.80341975,-122.4610687,10.94,329.7,22.3,76.6,354.74,301.18,18,0,2.41,687.44,74.6,-19.47
05-01-2026 14:00,Zone_001,37.820088,-122.4344506,5.06,181,14,58.4,267.82,617.27,-22,0,0.25,588.92,79.35,-17.2
05-01-2026 15:00,Zone_003,37.73002254,-122.4109659,3.91,286.2,34.5,56.2,490.22,1059.23,30,1,2.5,506.51,88.78,50.4
05-01-2026 16:00,Zone_005,37.72512239,-122.4890378,2.15,48.9,14,38.9,443.35,347.54,-12,0,1.26,553.05,82.19,-7.11
05-01-2026 17:00,Zone_003,37.71568518,-122.4066485,2.24,351.9,22.2,62.9,211.58,624.47,15,1,4.56,423.02,103.34,39.94
05-01-2026 18:00,Zone_001,37.79546454,-122.3528233,5.48,347.2,19.1,38.2,70.47,245.84,15,0,1.99,730.72,42.5,94.8
05-01-2026 19:00,Zone_005,37.80597136,-122.4714839,7.35,58.9,26,61,430.53,534.58,-14,1,3.17,616.69,80.57,68.99
05-01-2026 20:00,Zone_010,37.70473792,-122.3811107,1.43,107.8,13.2,79.6,460.06,294.85,-29,1,4.3,655.93,15.63,-0.06
05-01-2026 21:00,Zone_007,37.84043184,-122.3638152,11.31,36.1,20.8,46.8,419.28,499.99,9,0,4.92,636.8,62.82,20.86
05-01-2026 22:00,Zone_007,37.70779569,-122.3584448,9.18,97.8,16.9,61.3,107.58,510.81,-26,1,2.52,633.71,39.48,-19.9
05-01-2026 23:00,Zone_009,37.78119445,-122.3559797,7.25,293.7,32.2,94.5,499.06,1192.49,28,0,2.28,406.04,51.9,-47.64
06-01-2026 00:00,Zone_010,37.80635908,-122.4217811,10.03,136.2,11,74.6,166.36,1194.29,8,0,0.38,583.88,49.01,-6.54
06-01-2026 01:00,Zone_010,37.83064537,-122.3534038,1.42,31.8,32.8,84.7,375.89,226.26,23,0,0.06,687.6,16.65,5.41
06-01-2026 02:00,Zone_003,37.80711304,-122.3864035,5.98,123.2,30.8,57,458.62,898.57,30,0,3.04,415.58,61.33,34.66
06-01-2026 03:00,Zone_007,37.82025921,-122.4757493,7.75,353.3,17.4,79.9,156.06,156.92,17,1,0.33,734.66,119.41,91.61
06-01-2026 04:00,Zone_001,37.75091753,-122.428465,10.03,226.7,29.7,32.6,458.72,133.21,-15,0,1.9,548.46,42.88,92.18
06-01-2026 05:00,Zone_004,37.82222377,-122.3922503,9.51,149.8,10.8,38,189.27,215.87,-14,0,0.02,501.46,90.98,-39.49
06-01-2026 06:00,Zone_004,37.71201723,-122.462899,3.69,60,34.2,43.2,489.39,1162.03,23,0,3.08,586.14,70.26,42.2
06-01-2026 07:00,Zone_005,37.8342225,-122.4039077,11.32,355,23.2,56.1,176.57,1134.95,-4,0,2.13,680.42,45.77,-43.65
06-01-2026 08:00,Zone_007,37.78213886,-122.4000099,1.93,295.5,17.6,85,479.05,313.32,-24,0,0.64,566.16,19.86,47.21
06-01-2026 09:00,Zone_007,37.82259467,-122.475595,10.56,101.3,19.1,52.5,74.1,277.84,21,1,1.48,625.79,33.74,-32.34
06-01-2026 10:00,Zone_004,37.76784774,-122.4152372,11.67,25.2,11.7,72.6,369.17,364.59,-23,1,2.85,574.97,96,91.96
06-01-2026 11:00,Zone_007,37.79653665,-122.384256,2.54,20.4,34.7,76.1,289.45,667.1,-23,0,3.28,620.95,40.69,79.65
06-01-2026 12:00,Zone_003,37.7789604,-122.4251657,8.8,43.3,11,68.1,265.04,726.68,-8,0,2.31,448.31,25.87,-46.65
06-01-2026 13:00,Zone_006,37.80973843,-122.4981845,0.96,209.1,26.4,53.2,150.57,343.75,1,0,4.02,413.53,46.44,67.32
06-01-2026 14:00,Zone_002,37.7122445,-122.4986442,5.16,334.4,21.1,67.5,367.52,932.29,12,1,0.56,447.92,74.24,45.38
06-01-2026 15:00,Zone_010,37.70905281,-122.4464456,6.44,178.8,33.7,52.2,135.86,440.51,16,0,0.42,500.04,87.38,24.31
06-01-2026 16:00,Zone_009,37.73706549,-122.3610709,7.18,303.5,16.1,35.5,298.78,1114.34,-13,0,0.22,488.67,52.61,40.4
06-01-2026 17:00,Zone_005,37.7239317,-122.4656985,11.26,160.5,23.3,94.5,163.96,822.39,7,1,2.68,615.31,64.8,51.74
06-01-2026 18:00,Zone_006,37.83076753,-122.4048454,8.23,255.1,22.1,38.3,480.03,579.99,23,0,3.53,559.56,60.04,82.67
06-01-2026 19:00,Zone_004,37.7328821,-122.4666886,6.03,263.5,27.6,34.7,62.88,968.9,-19,0,0.65,413.58,10.99,65.1
06-01-2026 20:00,Zone_010,37.84637979,-122.4517495,9.81,62.6,11.7,87.1,139.88,999.71,-16,1,3.19,412.2,53.52,36.31
06-01-2026 21:00,Zone_007,37.75053437,-122.3727937,11.43,130,14.8,49.6,159.04,419.53,-3,0,2.38,431.71,74.61,73.69
06-01-2026 22:00,Zone_009,37.72731769,-122.3906708,0.75,229.4,15.4,72.3,236.33,473.69,24,0,4.94,523.58,72.69,98.04
06-01-2026 23:00,Zone_007,37.81845478,-122.4856901,11.8,25.5,28.5,51.4,154.73,1129.55,7,0,3.59,402.16,92.47,-4.97
07-01-2026 00:00,Zone_001,37.79880617,-122.4356947,1.49,130.2,14.7,55.4,271.11,281.22,19,0,3.29,572.9,83.74,-32.24
07-01-2026 01:00,Zone_001,37.77472936,-122.4956245,9.87,192.5,24.3,47,442.61,146.37,25,0,2.85,526.23,40.45,59.72
07-01-2026 02:00,Zone_009,37.78330453,-122.4278665,3.72,358.6,15.4,52.3,370.43,599.46,0,1,4.99,594.4,38.12,96.79
07-01-2026 03:00,Zone_009,37.80788027,-122.4006349,2.02,170.8,31.5,56.7,310.98,981.33,21,0,4.9,652.29,61.06,-32.49
07-01-2026 04:00,Zone_004,37.73426821,-122.4822246,5.56,293.8,33.6,76.8,90.05,948.83,-22,1,2.69,487.84,90.63,14.76
07-01-2026 05:00,Zone_009,37.84945009,-122.4566673,7.91,155.5,23,63.2,362.3,1111.48,-23,0,2.28,454.98,20.32,-40.66
07-01-2026 06:00,Zone_003,37.84621897,-122.4403245,4.88,286.7,18.8,91.3,124.89,686.52,15,0,2.31,497.32,114.32,66.48
07-01-2026 07:00,Zone_007,37.79754885,-122.3620703,1.13,214.3,15.9,32.7,403.87,210.07,-12,0,2.14,400.62,69.75,92.31
07-01-2026 08:00,Zone_006,37.72993137,-122.3510117,7.39,319.2,11.2,62.7,162.53,747.56,20,0,2.66,442,43.7,24.85
07-01-2026 09:00,Zone_008,37.80203424,-122.4932633,10.88,147.9,16.7,68,237.67,956.24,-23,0,1.37,662.79,86.27,11.43
07-01-2026 10:00,Zone_009,37.71082976,-122.3858488,4.91,217.5,26.4,89.8,207.71,202.66,3,0,4.63,477.98,14.92,86.16
07-01-2026 11:00,Zone_005,37.70459788,-122.4442414,2.99,226.8,23.3,33.2,436.47,289.92,26,0,2.45,748,63.28,-29.99
07-01-2026 12:00,Zone_001,37.73865243,-122.4411313,5.59,150.3,33.6,67.3,106.95,113.52,-27,0,4.21,458.74,63.46,83.74
07-01-2026 13:00,Zone_003,37.76939344,-122.3868603,1.06,52,19.9,85.5,304.54,753.02,0,1,2.38,676.07,27.82,8.82
07-01-2026 14:00,Zone_010,37.83024088,-122.362236,9.94,33.7,27.3,45.7,113.93,1075.41,7,0,3.59,646.77,102.11,33.91
07-01-2026 15:00,Zone_008,37.80907536,-122.3573607,10,6,22.2,87,367.16,837.73,-28,0,1.68,512.75,97.65,29.24
07-01-2026 16:00,Zone_006,37.81140598,-122.4134316,7.26,314.5,22.8,31.2,457.29,1180.24,4,0,3.12,515.76,26.8,42.4
07-01-2026 17:00,Zone_008,37.763824,-122.4464318,4.56,85.1,16.7,77.6,245.57,169.34,-12,0,2.49,597.24,50.02,91.32
07-01-2026 18:00,Zone_009,37.75189025,-122.3818676,9.7,76.1,21.4,90.7,269.64,1093.3,12,1,1.84,698.33,21.05,92.67
07-01-2026 19:00,Zone_004,37.75565581,-122.4623498,6.88,265,21.8,72.7,467.34,995.48,-2,0,4.41,535.17,103.35,74.67
07-01-2026 20:00,Zone_001,37.84814743,-122.4153889,10,115.2,27.7,58.5,284.45,445.67,-21,0,0.56,421.41,45.57,-21.27
07-01-2026 21:00,Zone_001,37.70601638,-122.4462132,7.76,182.2,33.5,32.9,269.42,1170.88,-19,0,2.43,531.05,58.32,0.03
07-01-2026 22:00,Zone_010,37.83005472,-122.4015053,9.52,58.5,18.2,89.8,310.25,416.73,15,1,0.97,472.56,45.63,23.17
07-01-2026 23:00,Zone_004,37.78680131,-122.4639402,7.38,345.5,11.1,60.6,360.15,1078.24,-1,0,4.31,728.72,44.1,85.82
08-01-2026 00:00,Zone_007,37.76579231,-122.4712611,5.26,306.6,22.4,31.9,98.1,1068.82,-1,0,1.27,644.05,92.2,28.13
08-01-2026 01:00,Zone_002,37.80878865,-122.3622641,11.52,311,23.6,74.8,419.5,933.42,29,0,3.17,417.79,92.23,96.62
08-01-2026 02:00,Zone_003,37.77300034,-122.4847294,6.72,146.4,14.2,61.3,245.98,719.82,-13,0,0.83,502.55,66.96,97.58
08-01-2026 03:00,Zone_001,37.83101349,-122.4241063,7.46,274.5,29,38.1,82.56,232,-7,0,2.02,417.58,82.34,39.79
08-01-2026 04:00,Zone_005,37.83510528,-122.4668721,3.04,51.8,34.6,43.9,403.78,685.17,1,1,4.5,690.51,66.28,81.62
08-01-2026 05:00,Zone_001,37.76325814,-122.4941605,7.69,3.1,33.6,34.2,219.63,492.48,-22,1,0.83,717.2,13.14,99.88
08-01-2026 06:00,Zone_008,37.74152417,-122.4945972,7.07,7.2,14.9,67.3,95.17,971.44,16,0,3.32,439.3,17.26,77.46
08-01-2026 07:00,Zone_001,37.78885255,-122.4737167,2.63,211.2,31.9,70.4,335.2,933.94,-7,0,1.02,554.1,52.21,48.54
08-01-2026 08:00,Zone_001,37.8368545,-122.3699844,1.19,163.9,27.6,62.9,446.06,1101.67,-5,0,2.08,726.16,92.47,76.77
08-01-2026 09:00,Zone_002,37.73159933,-122.4576282,7.45,186.5,21.3,83.1,449.49,116.31,-28,0,2.7,450.82,110.45,-37.6
08-01-2026 10:00,Zone_002,37.79344499,-122.3574311,9.28,2.7,23.5,86,480.95,990.01,-8,0,2.89,502.17,13.27,45.22
08-01-2026 11:00,Zone_006,37.79473403,-122.4127567,6.52,152.2,31.2,70,440.47,1132.31,-20,0,3.01,506.5,50.48,-17.52
08-01-2026 12:00,Zone_007,37.80996695,-122.4345079,3.11,258.5,22,30.8,50.96,968.23,-21,1,3.2,410.52,34.62,-32.59
08-01-2026 13:00,Zone_005,37.71973515,-122.4129867,8.17,159.4,19.3,75.2,221.11,243.21,19,0,1.36,412.7,99.67,83.93
08-01-2026 14:00,Zone_001,37.80737374,-122.4224952,1.42,263.6,22.3,57.2,418.34,189.41,5,1,2.01,733.48,103.06,45.95
08-01-2026 15:00,Zone_001,37.83635488,-122.3861836,5.58,83.9,24.5,66.8,214.81,122.93,29,0,0.19,599.88,32.7,-13.47
